ChaveCliente,PrimeiraCompra,UltimaCompra,Pedidos,TipoCliente
-1,2011-06-15,2011-11-11,3,Balcao (nao identificado)
12413,2011-01-06,2011-10-04,5,Identificado
12437,2011-01-12,2011-12-08,19,Identificado
12441,2010-12-08,2010-12-08,1,Identificado
12488,2011-09-25,2011-11-30,3,Identificado
12489,2011-01-07,2011-01-07,1,Identificado
12490,2011-01-14,2011-12-04,10,Identificado
12491,2011-11-01,2011-11-01,1,Identificado
12493,2011-05-26,2011-06-27,3,Identificado
12494,2010-12-09,2011-11-30,13,Identificado
12506,2011-04-21,2011-04-21,1,Identificado
12508,2011-11-10,2011-11-13,2,Identificado
12509,2011-02-28,2011-02-28,1,Identificado
12513,2011-08-19,2011-09-16,2,Identificado
12523,2011-01-12,2011-12-08,13,Identificado
12532,2011-11-09,2011-11-09,1,Identificado
12535,2011-06-06,2011-09-09,2,Identificado
12536,2011-10-11,2011-12-02,5,Identificado
12553,2011-01-14,2011-12-01,14,Identificado
12562,2011-05-25,2011-12-01,7,Identificado
12564,2011-03-23,2011-03-23,1,Identificado
12567,2010-12-05,2011-11-17,11,Identificado
12571,2011-08-10,2011-10-31,2,Identificado
12573,2011-04-26,2011-04-26,1,Identificado
12574,2011-01-28,2011-01-28,1,Identificado
12577,2010-12-15,2011-11-04,4,Identificado
12579,2011-09-22,2011-09-27,3,Identificado
12583,2010-12-01,2011-12-07,18,Identificado
12589,2011-07-18,2011-11-11,2,Identificado
12593,2011-05-05,2011-08-23,3,Identificado
12598,2011-02-28,2011-11-30,9,Identificado
12599,2011-02-08,2011-11-10,7,Identificado
12602,2011-10-12,2011-10-12,1,Identificado
12604,2011-03-23,2011-09-21,2,Identificado
12615,2011-06-24,2011-12-07,4,Identificado
12616,2011-02-15,2011-09-15,5,Identificado
12617,2011-11-10,2011-11-10,1,Identificado
12620,2011-05-19,2011-11-25,3,Identificado
12624,2011-06-15,2011-08-25,2,Identificado
12637,2011-01-20,2011-10-03,10,Identificado
12640,2011-09-19,2011-11-16,3,Identificado
12643,2011-01-11,2011-08-03,6,Identificado
12650,2011-12-06,2011-12-06,1,Identificado
12651,2011-01-09,2011-01-09,1,Identificado
12652,2011-01-12,2011-01-21,2,Identificado
12656,2011-04-11,2011-11-22,8,Identificado
12657,2011-09-22,2011-11-28,5,Identificado
12659,2011-11-10,2011-11-10,1,Identificado
12660,2011-11-28,2011-11-28,1,Identificado
12669,2011-03-28,2011-07-12,4,Identificado
12670,2011-04-21,2011-11-29,6,Identificado
12672,2011-01-14,2011-01-14,1,Identificado
12674,2011-05-16,2011-11-28,7,Identificado
12678,2010-12-21,2011-10-28,13,Identificado
12679,2011-03-01,2011-10-18,9,Identificado
12680,2011-08-18,2011-12-09,4,Identificado
12681,2010-12-07,2011-11-25,27,Identificado
12682,2010-12-03,2011-12-06,31,Identificado
12683,2010-12-09,2011-12-05,20,Identificado
12684,2011-05-10,2011-12-02,7,Identificado
12685,2011-09-07,2011-11-11,6,Identificado
12686,2010-12-03,2010-12-03,1,Identificado
12689,2011-08-04,2011-11-14,2,Identificado
12690,2011-05-18,2011-05-18,1,Identificado
12691,2010-12-17,2011-11-11,6,Identificado
12694,2011-06-09,2011-09-30,2,Identificado
12695,2011-05-13,2011-12-02,4,Identificado
12700,2011-05-08,2011-12-02,6,Identificado
12707,2011-02-21,2011-02-21,1,Identificado
12714,2011-02-18,2011-11-30,5,Identificado
12716,2011-07-29,2011-12-06,2,Identificado
12718,2011-09-29,2011-09-29,1,Identificado
12719,2011-10-05,2011-12-04,3,Identificado
12721,2010-12-09,2011-11-08,7,Identificado
12722,2011-07-12,2011-09-15,6,Identificado
12723,2011-10-05,2011-12-06,5,Identificado
12724,2011-01-11,2011-12-04,4,Identificado
12726,2010-12-17,2011-11-11,7,Identificado
12727,2011-01-23,2011-11-29,9,Identificado
12728,2011-01-11,2011-09-29,4,Identificado
12729,2011-08-18,2011-08-18,1,Identificado
12731,2010-12-10,2011-11-16,14,Identificado
12732,2011-06-13,2011-06-13,1,Identificado
12734,2010-12-22,2010-12-22,1,Identificado
12735,2011-01-06,2011-01-28,2,Identificado
12736,2011-01-11,2011-01-11,1,Identificado
12740,2011-10-07,2011-10-07,1,Identificado
14277,2011-05-11,2011-11-24,4,Identificado
