Pedido,CodigoProduto,ChaveCliente,Data,Quantidade,PrecoUnitario,ValorLiquido,EhDevolucao
536370,22728,12583,2010-12-01,24,3.75,90.0,0
536370,22727,12583,2010-12-01,24,3.75,90.0,0
536370,22726,12583,2010-12-01,12,3.75,45.0,0
536370,21724,12583,2010-12-01,12,0.85,10.2,0
536370,21883,12583,2010-12-01,24,0.65,15.6,0
536370,10002,12583,2010-12-01,48,0.85,40.8,0
536370,21791,12583,2010-12-01,24,1.25,30.0,0
536370,21035,12583,2010-12-01,18,2.95,53.1,0
536370,22326,12583,2010-12-01,24,2.95,70.8,0
536370,22629,12583,2010-12-01,24,1.95,46.8,0
536370,22659,12583,2010-12-01,24,1.95,46.8,0
536370,22631,12583,2010-12-01,24,1.95,46.8,0
536370,22661,12583,2010-12-01,20,0.85,17.0,0
536370,21731,12583,2010-12-01,24,1.65,39.6,0
536370,22900,12583,2010-12-01,24,2.95,70.8,0
536370,21913,12583,2010-12-01,12,3.75,45.0,0
536370,22540,12583,2010-12-01,24,0.42,10.08,0
536370,22544,12583,2010-12-01,24,0.42,10.08,0
536370,22492,12583,2010-12-01,36,0.65,23.4,0
536370,POST,12583,2010-12-01,3,18.0,54.0,0
536852,22549,12686,2010-12-03,12,1.45,17.4,0
536852,22544,12686,2010-12-03,24,0.42,10.08,0
536852,22539,12686,2010-12-03,24,0.42,10.08,0
536852,22661,12686,2010-12-03,10,0.85,8.5,0
536852,21791,12686,2010-12-03,12,1.25,15.0,0
536852,21786,12686,2010-12-03,24,0.42,10.08,0
536852,POST,12686,2010-12-03,1,18.0,18.0,0
536974,15056BL,12682,2010-12-03,9,5.95,53.55,0
536974,15056P,12682,2010-12-03,3,5.95,17.85,0
536974,20679,12682,2010-12-03,6,5.95,35.7,0
536974,21915,12682,2010-12-03,12,1.25,15.0,0
536974,22659,12682,2010-12-03,12,1.95,23.4,0
536974,22352,12682,2010-12-03,12,2.55,30.6,0
